year,party,winner,pv2p,last_pv2p,incumbent,incumbent_party
1956,democrat,FALSE,42.23566031975866,44.71055631014964,TRUE,FALSE
1956,republican,TRUE,57.76433968024135,55.28944368985036,TRUE,TRUE
1960,republican,FALSE,49.91324051234254,57.76433968024135,FALSE,TRUE
1960,democrat,TRUE,50.08675948765746,42.23566031975866,FALSE,FALSE
1964,republican,FALSE,38.65603216011591,49.91324051234254,FALSE,FALSE
1964,democrat,TRUE,61.34396783988409,50.08675948765746,TRUE,TRUE
1968,republican,TRUE,50.40462161106466,38.65603216011591,FALSE,FALSE
1968,democrat,FALSE,49.595378388935345,61.34396783988409,FALSE,TRUE
1972,republican,TRUE,61.78900883147498,50.40462161106466,TRUE,TRUE
1972,democrat,FALSE,38.21099116852502,49.595378388935345,FALSE,FALSE
1976,democrat,TRUE,51.13734917444963,38.21099116852502,FALSE,FALSE
1976,republican,FALSE,48.86265082555036,61.78900883147498,TRUE,TRUE
1980,democrat,FALSE,44.84244123187356,51.13734917444963,TRUE,TRUE
1980,republican,TRUE,55.157558768126435,48.86265082555036,FALSE,FALSE
1984,democrat,FALSE,40.876648809274144,44.84244123187356,FALSE,FALSE
1984,republican,TRUE,59.12335119072585,55.157558768126435,TRUE,TRUE
1988,democrat,FALSE,46.167544710005984,40.876648809274144,FALSE,FALSE
1988,republican,TRUE,53.832455289994016,59.12335119072585,FALSE,TRUE
1992,democrat,TRUE,53.62069583838034,46.167544710005984,FALSE,FALSE
1992,republican,FALSE,46.37930416161966,53.832455289994016,TRUE,TRUE
1996,democrat,TRUE,54.804024027865864,53.62069583838034,TRUE,TRUE
1996,republican,FALSE,45.195975972134136,46.37930416161966,FALSE,FALSE
2000,democrat,FALSE,50.25952344926664,54.804024027865864,FALSE,TRUE
2000,republican,TRUE,49.740476550733355,45.195975972134136,FALSE,FALSE
2004,democrat,FALSE,48.73068404108468,50.25952344926664,FALSE,FALSE
2004,republican,TRUE,51.26931595891532,49.740476550733355,TRUE,TRUE
2008,democrat,TRUE,53.77076727938485,48.73068404108468,FALSE,FALSE
2008,republican,FALSE,46.22923272061515,51.26931595891532,FALSE,TRUE
2012,democrat,TRUE,51.915258039578795,53.77076727938485,TRUE,TRUE
2012,republican,FALSE,48.08474196042121,46.22923272061515,FALSE,FALSE
2016,democrat,FALSE,51.16249043797541,51.915258039578795,FALSE,TRUE
2016,republican,TRUE,48.83750956202459,48.08474196042121,FALSE,FALSE
