state,year,total,D,R,party,pv2p,last_pv2p,winner,incumbent,incumbent_party
Alabama,1988,1378476,549506,815576,republican,59.74556839808891,61.26339535131827,TRUE,FALSE,TRUE
Alabama,1988,1378476,549506,815576,democrat,40.254431601911094,38.736604648681734,FALSE,FALSE,FALSE
Alabama,1992,1688060,690080,804283,republican,53.82112645990298,59.74556839808891,FALSE,TRUE,TRUE
Alabama,1992,1688060,690080,804283,democrat,46.178873540097015,40.254431601911094,TRUE,FALSE,FALSE
Alabama,1996,1534349,662165,769044,republican,53.73387115368894,53.82112645990298,FALSE,FALSE,FALSE
Alabama,1996,1534349,662165,769044,democrat,46.266128846311055,46.178873540097015,TRUE,TRUE,TRUE
Alabama,2000,1666272,692611,941173,republican,57.60694192133109,53.73387115368894,TRUE,FALSE,FALSE
Alabama,2000,1666272,692611,941173,democrat,42.39305807866891,46.266128846311055,FALSE,FALSE,TRUE
Alabama,2004,1883415,693933,1176394,republican,62.89777135228225,57.60694192133109,TRUE,TRUE,TRUE
Alabama,2004,1883415,693933,1176394,democrat,37.10222864771775,42.39305807866891,FALSE,FALSE,FALSE
Alabama,2008,2099819,813479,1266546,republican,60.890902753572675,62.89777135228225,FALSE,FALSE,TRUE
Alabama,2008,2099819,813479,1266546,democrat,39.109097246427325,37.10222864771775,TRUE,FALSE,FALSE
Alabama,2012,2074338,795696,1255925,republican,61.216228533437715,60.890902753572675,FALSE,FALSE,FALSE
Alabama,2012,2074338,795696,1255925,democrat,38.78377146656229,39.109097246427325,TRUE,TRUE,TRUE
Alabama,2016,2123372,729547,1318255,republican,64.37414359396074,61.216228533437715,TRUE,FALSE,FALSE
Alabama,2016,2123372,729547,1318255,democrat,35.62585640603926,38.78377146656229,FALSE,FALSE,TRUE
Alaska,1988,200116,72584,119251,republican,62.16331743425339,69.05591264771638,TRUE,FALSE,TRUE
Alaska,1988,200116,72584,119251,democrat,37.83668256574661,30.944087352283617,FALSE,FALSE,FALSE
Alaska,1992,258506,78294,102000,republican,56.57426203867018,62.16331743425339,FALSE,TRUE,TRUE
